# Public compiler-phase contract; interpreter expectations remain in the original manifests.
# Sprint: #117; Story: #9; Story-ID: e400885f8746
id	phase	source_sha256	reason	public_test_ref
stdlib-import	artifact-run	3c25c618c29d99bfafe1220e489835616a29d2161d83e9fe6e36622c71e8fdde	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_import_test.go:TestBashPPStdlibImportSelectorCalls
stdlib-import-alias-blank	artifact-run	4fca5b050b4431a16ad251fd10e1130cc84ef687b2b02f1af914738242130988	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_import_test.go:TestBashPPStdlibImportSelectorCalls
stdlib-import-dot	artifact-run	b7bb4fba032165205e8c3e5ac53c4aed00f1bd6ce3bab1033176794055ad8441	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_import_test.go:TestBashPPStdlibImportSelectorCalls
local-selector-shadows-import	artifact-run	f8f9a5a45f13fd90583efda7f5831b3d40279fab6650f9f9ed8a4775768bae01	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_import_test.go:TestBashPPLocalMultipartSelectorWinsOverImport
named-map-range	artifact-run	218f21c81b5e6c78783fb8c74a0209dc6b922775b04f1a29ba6c3469c230db09	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story201_closure_test.go:TestBashPPStory201NamedCompositeClosure/named map range
selected-slice	artifact-run	f65d7bf6d91ffde418534b7b2a906fa97dcf3fdfb1a35ee87c08a577c60bb801	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story201_closure_test.go:TestBashPPStory201NamedCompositeClosure/selected slice operand
named-array-equality	artifact-run	e1fce37e744830c8feaaa92d998e39b7440e82c39361bc825f8f0d2d0262de59	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story201_closure_test.go:TestBashPPStory201NamedCompositeClosure/named array equality
literal-integer	artifact-run	88be74fade8954d3a7116d231f614c17ec578f5b8d1a55135e3b4f32062b647e	Expected successful source execution requires a built native artifact and exact runtime observations.	tests/lowering/profile-additional/literal-integer.bpp
literal-float	artifact-run	2c908948c830d5332b9687bc0c99caac64c311783ba91c8c296109e72c2cde9c	Expected successful source execution requires a built native artifact and exact runtime observations.	tests/lowering/profile-additional/literal-float.bpp
literal-rune	artifact-run	b488d2b7bedd0b293ec0ca18c09ef128a2d12a68651f96030bba4a9390408cd5	Expected successful source execution requires a built native artifact and exact runtime observations.	tests/lowering/profile-additional/literal-rune.bpp
array-range	artifact-run	b0f6542939207c25932dda0cf78bb809f6e7148179a73341fff349bb5e3deba4	Expected successful source execution requires a built native artifact and exact runtime observations.	tests/lowering/profile-additional/array-range.bpp
